ENTRIES IN BLUE HAVE BEEN ADDED BY THE GUARDIAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reportkey,Guardian incident url,lat,long,bundle,Guardian headline,dateoccurred,type,category,Guardian edited category,trackingnumber,title,summary,region,attackon,complexattack,reportingunit,unitname,typeofunit,friendlywia,friendlykia,hostnationwia,hostnationkia,civilianwia,civiliankia,enemywia,enemykia,enemydetained,mgrs,latitude,longitude,originatorgroup,updatedbygroup,ccir,sigact,affiliation,dcolor
EFB96152-D9D9-417C-B6F9-655E42AC94B7,http://www.guardian.co.uk/world/afghanistan/warlogs/EFB96152-D9D9-417C-B6F9-655E42AC94B7,33.13945007,69.97888184,289,Al-Qaida propaganda,09.04.2004 00:00,Non-Combat Event,Propaganda,Other,2007-033-010809-0859,PROPAGANDA  Other,"PROPAGANDA FOUND IVO BCP 4: TWO WHITE FLAGS WERE DISCOVERED IVO BCP 4 DURING OPERATIONS ALONG THE BORDER.  ON THE FLAGS WAS WRITTEN, LONG LIVE TB.  LONG LIVE AMIRUL MUMINI, LEADER OF MUSLIMS, MAWLAWI MUHAMMAD OMAR, AND SHEIK OSMA.  [OSMA IS POSSIBLY SUPPOSED TO BE OSAMA].  UNDER THE FLAGS WERE FIVE HANDWRITTEN LETTERS.  THEY READ:
1.  KILL THEM WHEREVER YOU FIND THEM.  [THIS IS A VERSE FROM THE KORAN]  THOSE WHO GIVE US INFORMATION ABOUT THE COALITION FORCES, GOD WILL BLESS THEM.  WE ARE LOOKING FOR COALITION FORCES
2. &amp;amp; 3.  BOTH READ:  WARNING:  WE HAVE LAUNCHED OPERATIONS AGAINST THE COALITION FORCES.  IF GOD IS WILLING WE WILL GET RID OF THEM. 
4.  THOSE WHO REMOVE THIS ISLAMIC FLAG, WE WILL TAKE ACTION AGAINST THEM.  [SIGNED] MULLAH MOHAMMAD OMAR  
5.  WARNING:  WE ARE LOOKING FOR COALITION FORCES, THOSE WHO GIVE INFORMATION ABOUT THEM, GOD WILL BLESS THEM.",RC EAST,NEUTRAL,FALSE,OTHER,OTHER,Coalition,0,0,0,0,0,0,0,0,0,42SWB9130167173,33.13945007,69.97888184,UNKNOWN,UNKNOWN,,,NEUTRAL,GREEN
777E7E76-2219-0B3F-9F46F193643C2BBA,http://www.guardian.co.uk/world/afghanistan/warlogs/777E7E76-2219-0B3F-9F46F193643C2BBA,0,0,157,"Bin Laden instigates suicide attack against Afghan President Hamid Karzai, according to US report",01.09.2004 00:00,Threat Report,Crime,Other,20040901000031NAA6600800000,(THREAT REPORT) CRIME RPT  Unknown ,"AQ OPERATIVES TO ACT AS JOURNALISTS
Organization(s) Involved: AL QAIDA
Three well-trained terrorists (NFI) have been assigned by Osama Bin LADEN to conduct a suicidal attack against KARZAI. According to the source, the three terrorists will pass Afghanistan border in ten days with counterfeit journalist passports, obtained from an Arab country, potentially PAKISTAN (NFI). They are planning to conduct the attack during a press conference or a meeting held by KARZAI. Their second plan is to conduct a similar spectacular attack against NATO, ISAF or UN officials. They will use their cameras or recorders as RCIED's or IED's in this attack.",UNKNOWN,ENEMY,FALSE,HUMINT,,,0,0,0,0,0,0,0,0,0,,,,ISAF HQ,ISAF HQ,,,ENEMY,RED
777FBEB7-2219-0B3F-9F0C59FFD93575CF,http://www.guardian.co.uk/world/afghanistan/warlogs/777FBEB7-2219-0B3F-9F0C59FFD93575CF,34.34500122,62.19971848,158,"Iran smuggles money into Afghanistan to fund insurgents, says US report",07.02.2005 00:00,Threat Report,Crime,Other,20050207000041SMU2639500700,(THREAT REPORT) CRIME RPT  Hirat ,"Iran Intel financing TB and HIG
Organization(s) Involved: TALIBAN
On 30 January 2005, Iranian Intelligence agencies brought ten million Afghanis (approximately 212,800 USD) from Bir Jahn (CNA), IR to an unknown location on the border of IR and Farah Province, AF.  The money was transferred to a 1990's model white Toyota Corolla station wagon.  The money was hidden with various food stuffs.  The Corolla was occupied by four members of the Hezb-E-Islami, Gulbuddin (HIG) terrorist organization.  The money was transported to an unknown location.",RC WEST,ENEMY,FALSE,,,,0,0,0,0,0,0,0,0,0,41SMU2639500700,34.34500122,62.19971848,ISAF HQ,ISAF HQ,,,ENEMY,RED
7789E8A5-2219-0B3F-9F3EEDB12EA56051,http://www.guardian.co.uk/world/afghanistan/warlogs/7789E8A5-2219-0B3F-9F3EEDB12EA56051,32.62638855,65.47028351,159,"Iran offers reward  for each Afghan official and soldier killed, according to coalition report",19.02.2005 00:00,Threat Report,Attack Threat,Other,20050219000041SQS3176112564,(THREAT REPORT) ATTACK THREAT RPT  Deh Rawod ,"FORMER GOA AND TB COMMIT ATTACKS
Organization(s) Involved: GOVERNMENT OF AFGHANISTAN,TALIBAN
19 FEB 2005, UNKNOWN SOURCE, (NS)
FORMER GOA OFFICIALS AND TB LEADERS TO CONDUCT ATTACKS IN HELMAND AND ORUZGAN PROVINCES:  A JOINT GROUP OF GOA OFFICIALS WHO HELD THEIR GOVERNMENT POSITIONS DURING THE TB REGIME AND OTHER TB COMMANDERS ARE PLANNING FOR FUTURE ATTACKS IN THE BAGHRAN DISTRICT, HELMAND PROVINCE, AND DEH RAWOD DISTRICT, ORUZGAN PROVINCE. THIS JOINT GROUP CURRENTLY RESIDES IN IRAN. THE GROUP CONSISTS OF EIGHT MAIN LEADERS, ALL OF WHOM TRAVEL WITH SEVEN BODYGUARDS. THE LEADERS TRAVEL INTO AF TO RECRUIT SOLDIERS, BUT THEY ARE NOT EXPECTED TO CONDUCT THE ATTACKS THEMSELVES. INITIALLY, THE JOINT GROUP WILL ATTACK NGOS AND GOA OFFICIALS TRAVELING ALONG THE ROADS OF AF. IF THESE ATTACKS ARE SUCCESSFUL, THEY WILL START TO ATTACK U.S. FORCES. THE GROUP WILL USE HIT AND RUN TACTICS USING AK-47 ASSAULT RIFLES AND IEDS. THE IRANIAN GOVERNMENT HAS OFFERED EACH MEMBER OF THE GROUP 100,000 RUPEES (1740 USD) FOR ANY AF SOLDIER KILLED AND 200,000 RUPEES (3481 USD) FOR ANY GOA OFFICIAL. (SOURCE COMMENT:  THESE ARE DETERMINED FIGHTERS WHO COULD CARE LESS ABOUT THE MONEY).",RC SOUTH,ENEMY,FALSE,,,,0,0,0,0,0,0,0,0,0,41SQS3176112564,32.62638855,65.47028351,ISAF HQ,ISAF HQ,,,ENEMY,RED
4C9091F6-F653-4ED0-9F5C-C7B739115555,http://www.guardian.co.uk/world/afghanistan/warlogs/4C9091F6-F653-4ED0-9F5C-C7B739115555,33.99554825,69.10471344,91,Afghan troops shoot two civilians,22.02.2005 00:00,Friendly Fire,GREEN-GREEN,Afghan friendly fire,2007-033-011214-0722,FRIENDLY FIRE CIV Other 2 CIV WIA,(S//REL GCTF) HOSTILITIES ERUPTED BETWEEN AFGHAN SOLDIERS AND LN RESULTING IN 2X LN WOUNDED.,RC EAST,FRIEND,FALSE,OTHER,OTHER,Coalition,0,0,0,0,2,0,0,0,0,42SWC0967161668,33.99554825,69.10471344,UNKNOWN,UNKNOWN,,,FRIEND,BLUE
4A5BA4FA-C08A-4ED5-A626-798825D23015,http://www.guardian.co.uk/world/afghanistan/warlogs/4A5BA4FA-C08A-4ED5-A626-798825D23015,32.38249969,66.78555298,88,Police shoot-out with district tribal chief wounds three,11.03.2005 14:08,Friendly Fire,GREEN-GREEN,Afghan friendly fire,2007-033-011214-0847,FRIENDLY FIRE  Other,"TF BRONCO REPORTS GREEN ON GREEN FIGHTING IVO QALAT. AT 1705Z THE FOLLOWING SALT REPORT WAS SENT. S: FORCES OF THE DISTRICT CHIEF OF ARGENDAB AND THE DEPUTY POLICE CHIEF OF SHAH JOY, A: 3X LN WOUNDED, L: DISTRICT OF ARGENDAB, T: 1408Z REMARKS: QALAT POLICE INVESTIGATOR AND THE NDS PROSECUTOR ARE ENROUTE TO DETERMINE WHAT HAPPENED. THE DISTRICT CHIEF OF ARGENDAB IS NOW REPORTED IN GHAZNI AND LOCAL POLICE ARE INVESTIGATING AT THIS TIME.",RC SOUTH,FRIEND,FALSE,OTHER,OTHER,Coalition,0,0,0,0,0,0,0,0,0,42STA9168484991,32.38249969,66.78555298,UNKNOWN,UNKNOWN,,,FRIEND,BLUE
C9645294-D0ED-43F7-9669-01EA97BC072E,http://www.guardian.co.uk/world/afghanistan/warlogs/C9645294-D0ED-43F7-9669-01EA97BC072E,32.97304916,66.67584229,255,Local contractor suspected of killing rival workers,15.03.2005 06:45,Friendly Fire,GREEN-GREEN,Afghan friendly fire,2007-033-011214-0972,FRIENDLY FIRE  Other,"15 MAR 05: A/2-5 IN FORCES REPORTED THAT TWO HAZARAN WORKERS WERE ATTACKED AND KILLED BY THREE MEN AT 0645Z AT A CHECKPOINT IN VICINITY OF 42S TB 828 507.   THE VICTIMS NAMES WERE QASIM ALI, A 47-YEAR-OLD FROM SASPAR VILLAGE (42S TB 7747), AND NAROOZ ALI, A 13-YEAR-OLD ALSO FROM SASPAR VILLAGE.  THE VICTIMS WERE SAID TO HAVE HAD NO ENEMIES AND NO OUTSTANDING DEBTS.  BOTH MEN WORKED FOR MATIOLLA, THE LEAD CONTRACTOR FOR THE CHECKPOINT (AND ALSO THE CONTRACTOR FOR THE HOSAYNI SCHOOL).  TWO PASHTUN WORKERS FROM FEREMOZ VILLAGE (GRID UNKNOWN) WHO NORMALLY WORKED AT THE CHECKPOINT WERE NOT PRESENT TODAY (15 MAR 05).  

THIS ATTACK MAY HAVE BEEN CONDUCTED BY THE BODYGUARDS THAT WORK FOR ATIQUE, A LOCAL CONTRACTOR.  THE PATROL THAT RESPONDED TO THIS REPORT RAN INTO ATIQUE EN ROUTE TO THE LOCATION AT A CHECKPOINT LOCATED NEAR ROUTE HOOSIERS AND ROUTE GOPHERS.  SINCE HE IS THE CONTRACTOR, IT WAS NOT ALL THAT RANDOM.  ATIQUE PLAYED DUMB AS IF HE HAD NO IDEA WHAT WAS GOING ON.  HIS TRUCK, ALTHOUGH BLUE IN COLOR, WAS CAKED IN MUD TO THE POINT THAT IT APPEARED TO BE BEIGE, ESPECIALLY IN THE SUNLIGHT FROM 600 METERS AWAY.  ATIQUE HAD ONLY TWO MEN WITH HIM, WHICH LEFT THREE SEATS OPEN IN THE TRUCK.  HE HAS BEEN DISGRUNTLED RECENTLY FOR TWO PRIMARY REASONS: 1. ATIQUE WANTED CONTRACTS FOR ALL THREE CHECKPOINTS THAT WERE BEING BUILT; 2. (MORE IMPORTANTLY) THE NORTH WALL THAT HE BUILT FOR A/2-5 IN FORCES AT FOB ANACONDA HAD COLLAPSED AND A NEW CONTRACT HAD BEEN GIVEN TO A HAZARAN TO REPAIR IT (AND ATIQUE WAS NEVER PAID THE FULL AMOUNT BECAUSE THE WALL HAD NOT BEEN BUILT PROPERLY).  HE HAD STATED THAT THE LOCAL PEOPLE WERE LAUGHING AT HIM BECAUSE HE HAD LOST THE CONTRACT TO A HAZARAN.",RC SOUTH,FRIEND,FALSE,OTHER,OTHER,Coalition,0,0,0,0,0,0,0,0,0,42STB8279650698,32.97304916,66.67584229,UNKNOWN,UNKNOWN,,,FRIEND,BLUE
4FCF3E0F-90C2-4067-93D7-B7CCC5E95D37,http://www.guardian.co.uk/world/afghanistan/warlogs/4FCF3E0F-90C2-4067-93D7-B7CCC5E95D37,32.89916992,65.54444122,99,Afghan boy caught in cross-fire of local feud.,19.03.2005 00:00,Friendly Fire,GREEN-GREEN,Afghan friendly fire,2007-033-011215-0191,FRIENDLY FIRE  Other,"FOB COBRA RECEIVED A LOCAL NATIONAL BOY WHO HAD RECEIVED A GUNSHOT WOUND TO HIS STOMACH.  HE HAD BEEN SHOT DURING A GREEN ON GREEN FIREFIGHT IN JANGALAK VILLAGE (41S QS 3843).  THE BOY AND HIS OLDER BROTHER HAD HEARD SHOOTING OUTSIDE OF THEIR COMPOUND AND WENT OUTSIDE TO CHECK IT OUT, AT WHICH POINT THE BOY WAS SHOT IN THE STOMACH.  ANOTHER BROTHER HAD ALSO BEEN SHOT AND DIED AT THEIR COMPOUND.  NO ADULT MALES HAD ACCOMPANIED THE BROTHERS, AND ONLY THE OLDER BROTHER OF THE INJURED BOY COULD PROVIDE INFORMATION ON THE INCIDENT.  THE OLDER BROTHER EXPLAINED THAT MEN IN THE VILLAGE WERE HAVING PERSONAL DISPUTES WITH EACH OTHER AND HAD THEN BEGAN SHOOTING AT EACH ONES COMPOUNDS",RC SOUTH,FRIEND,FALSE,OTHER,OTHER,Coalition,0,0,0,0,0,0,0,0,0,41SQS3799342980,32.89916992,65.54444122,UNKNOWN,UNKNOWN,,,FRIEND,BLUE
442A5A0D-F806-46C9-A3E3-4E60C89B3FC2,http://www.guardian.co.uk/world/afghanistan/warlogs/442A5A0D-F806-46C9-A3E3-4E60C89B3FC2,32.67943954,62.43555069,81,Local police fire on army troops at checkpoint,19.03.2005 06:25,Friendly Fire,GREEN-GREEN,Afghan friendly fire,2007-033-011215-0066,FRIENDLY FIRE CIV Other 1 CIV KIA,"S: 9X LN POLICE, A: TIC, L: 41S MS 471 159, T: 0625Z. LOCAL NATIONAL POLICE OPEN FIRED ON ANA/ETT A POLICE CHECK POINT. NO ANA/ETT CASUALTIES. 1X LNP KIA AND 8X LNP DETAINED. ANA PULLED UP TO THE CHECK POINT AND IDENTIFIED THEMSELVES AS ANA; THEN THE LNP OPEN FIRED.",RC WEST,FRIEND,FALSE,TF LONGHORN,TF LONGHORN,Coalition,0,0,0,0,0,1,0,0,0,41SMS4708215892,32.67943954,62.43555069,UNKNOWN,UNKNOWN,,,FRIEND,BLUE
2EA128F8-76FA-4793-9CD1-929D30161F45,http://www.guardian.co.uk/world/afghanistan/warlogs/2EA128F8-76FA-4793-9CD1-929D30161F45,33.60113907,69.22202301,59,Police wound four and kill one at unarmed demonstration,13.05.2005 10:03,Non-Combat Event,Demonstration,Demonstration/unrest,2007-033-011134-0807,DEMONSTRATION CIV FOB Gardez 1 CIV KIA 4 CIV WIA,"CJSOTF reports demonstration IVO GARDEZ.  Initially approximately 60X demonstrators gathered for a protest where 1X demonstrator was shot in leg and transported to Gardez hospital.  The ANP is dealing with demonstration.  Earlier that morning CJSOTF facilitated the establishment of the Emergency Operation Center (EOC) at the local government compound.  The EOC is maintaining communication with Police/Government/CF.  The UNAMA compound is secured by elements of TF Thunder.  At 1005Z CJSOTF reported a second group of approximately 300 locals has linked-up with first group.  Demonstrators appear to be taking some direction from the police.  Group is moving north toward Tera Pass (CNA).
CJSOTF recommends all CF units stay off roads between Tera Pass and Gardez.  At 1007Z a large group of demonstrators (over 100) began to move toward FB Gardez (42s wc 20598 17955).  At 1053Z the crowd was 50M from north check point throwing rocks and a second group is 300M away and moving toward the check point.  During the incident, the police shot five people.  One died at the hospital and four are in stable condition.  The police verified that the individual who died was a spectator and not a demonstrator and that he was shot unintentionally.  At least two of the other four were shot for attempting to wrestle weapons away from the police.  It was not verified that the demonstrators were armed with anything more than slingshots.",RC EAST,NEUTRAL,FALSE,CJSOTF-A,CJSOTF-A,None Selected,0,0,0,0,4,1,0,0,0,42SWC2059817955,33.60113907,69.22202301,UNKNOWN,UNKNOWN,"DBC - Any incident that may create negative media. 
",DBC GLOBAL,NEUTRAL,GREEN
